,ID,LAT_START,LON_START,BTM_DEPTH_START,START_DATE,DROGUE_DEPTH_START,DROGUE_DEPTH_END,DEPLOYER,COMMUNICATION,TYPE,MANUFACTURER,INSTITUTE,PROJECT,DISTANCE,NDAYS,NOTES,SN,ACCURACY,DROGUEDIA,YRDAY0_GMT,END_DATE	,LAT_END,LON_END	,PI,VESSEL
15,196440673,45.1432,-65.1422,,2019-06-16T08:51:00Z,,,,GLOBALSTAR,Irina,ECOHAB,ECOHAB,,,,,1367684,1,1,,2019-09-08T07:07:00Z,,,McGillicuddy,Grand_Manan_Adventure_Ferry
16,196440674,44.5372,-66.387,,2019-06-16T08:40:00Z,,,,GLOBALSTAR,Irina,ECOHAB,ECOHAB,,,,,1375683,1,1,,2019-06-28T16:52:00Z,,,McGillicuddy,Grand_Manan_Adventure_Ferry
17,197440671,44.7003,-66.416,,2019-07-11T17:30:00Z,,,,GLOBALSTAR,Irina,ECOHAB,ECOHAB,,,,,1356422,1,1,,2019-10-11T22:14:00Z,,,McGillicuddy,Grand_Manan_Adventure_Ferry
18,197440672,44.7456,-66.4858,,2019-07-11T18:22:00Z,,,,GLOBALSTAR,Irina,ECOHAB,ECOHAB,,,,,1376563,1,1,,2019-08-24T01:12:00Z,,,McGillicuddy,Grand_Manan_Adventure_Ferry
19,197440673,44.3791,-66.9601,,2019-07-11T06:35:00Z,,,,GLOBALSTAR,Irina,ECOHAB,ECOHAB,,,,,1376941,1,1,,2019-07-16T11:21:00Z,,,McGillicuddy,Grand_Manan_Adventure_Ferry
20,197440674,45.0947,-65.5639,,2019-07-11T17:26:00Z,,,,GLOBALSTAR,Irina,ECOHAB,ECOHAB,,,,,1377494,1,1,,2019-09-30T15:47:00Z,,,McGillicuddy,Grand_Manan_Adventure_Ferry
21,197440675,44.7362,-66.4997,,2019-07-11T18:20:00Z,,,,GLOBALSTAR,Irina,ECOHAB,ECOHAB,,,,,1348191,1,1,,2020-01-31T10:05:00Z,,,McGillicuddy,Grand_Manan_Adventure_Ferry
22,197440671,44.7003,-66.416,,2019-07-11T17:30:00Z,,,,GLOBALSTAR,Irina,ECOHAB,ECOHAB,,,,,1356422,1,1,,2019-10-11T22:14:00Z,,,McGillicuddy,Grand_Manan_Adventure_Ferry
23,197440672,44.7456,-66.4858,,2019-07-11T18:22:00Z,,,,GLOBALSTAR,Irina,ECOHAB,ECOHAB,,,,,1376563,1,1,,2019-08-24T01:12:00Z,,,McGillicuddy,Grand_Manan_Adventure_Ferry
24,197440673,44.3791,-66.9601,,2019-07-11T06:35:00Z,,,,GLOBALSTAR,Irina,ECOHAB,ECOHAB,,,,,1376941,1,1,,2019-07-16T11:21:00Z,,,McGillicuddy,Grand_Manan_Adventure_Ferry
25,197440674,45.0947,-65.5639,,2019-07-11T17:26:00Z,,,,GLOBALSTAR,Irina,ECOHAB,ECOHAB,,,,,1377494,1,1,,2019-09-30T15:47:00Z,,,McGillicuddy,Grand_Manan_Adventure_Ferry
26,197440675,44.7362,-66.4997,,2019-07-11T18:20:00Z,,,,GLOBALSTAR,Irina,ECOHAB,ECOHAB,,,,,1348191,1,1,,2020-01-31T10:05:00Z,,,McGillicuddy,Grand_Manan_Adventure_Ferry
